,x,y,,x,y,,x,y,,x,y,,avrg,x,y,
1,2.666666667,0,,5.333333333,0,,,,,,,,,4,0,0
2,3.466666667,7.2,,5.333333333,8.533333333,,,,,,,,,4.4,7.866666667,-7.866666667
3,1.866666667,15.2,,3.466666667,16.8,,,,,,,,,2.666666667,16,-16
4,0.5333333333,20.53333333,,0.2666666667,25.6,,,,,,,,,0.4,23.06666667,-23.06666667
5,0.5333333333,30.66666667,,0,34.4,,,,,,,,,0.2666666667,32.53333333,-32.53333333
6,0,39.46666667,,2.666666667,48.8,,,,,,,,,1.333333333,44.13333333,-44.13333333
7,1.866666667,52.26666667,,5.6,57.86666667,,,,,,,,,3.733333333,55.06666667,-55.06666667
8,4,60.26666667,,6.133333333,66.13333333,,,,,,,,,5.066666667,63.2,-63.2
9,6.4,68,,10.66666667,75.2,,,,,,,,,8.533333333,71.6,-71.6
10,8,77.33333333,,16.26666667,83.2,,,,,,,,,12.13333333,80.26666667,-80.26666667
11,12,86.66666667,,19.73333333,103.2,,,,,,,,,15.86666667,94.93333333,-94.93333333
12,15.2,96.26666667,,25.33333333,114.4,,,,,,,,,20.26666667,105.3333333,-105.3333333
13,21.06666667,113.3333333,,29.6,135.4666667,,,,,,,,,25.33333333,124.4,-124.4
14,28,121.8666667,,35.46666667,138.1333333,,,,,,,,,31.73333333,130,-130
15,33.86666667,131.7333333,,45.33333333,148.2666667,,,,,,,,,39.6,140,-140
16,40.53333333,141.3333333,,56,161.6,,,,,,,,,48.26666667,151.4666667,-151.4666667
17,46.4,151.2,,63.73333333,183.2,,,,,,,,,55.06666667,167.2,-167.2
18,60.8,170.6666667,,72.53333333,191.7333333,,,,,,,,,66.66666667,181.2,-181.2
19,64.8,180.8,,82.93333333,201.6,,,,,,,,,73.86666667,191.2,-191.2
20,74.13333333,190.6666667,,101.0666667,213.3333333,,,,,,,,,87.6,202,-202
21,82.13333333,201.0666667,,109.8666667,243.4666667,,,,,,,,,96,222.2666667,-222.2666667
22,90.66666667,209.3333333,,119.4666667,255.2,,,,,,,,,105.0666667,232.2666667,-232.2666667
23,97.06666667,221.3333333,,130.1333333,266.1333333,,,,,,,,,113.6,243.7333333,-243.7333333
24,111.7333333,238.6666667,,141.0666667,277.8666667,,,,,,,,,126.4,258.2666667,-258.2666667
25,119.4666667,248,,152,285.8666667,,,,,,,,,135.7333333,266.9333333,-266.9333333
,126.6666667,255.4666667,,169.8666667,305.8666667,,,,,,,,,148.2666667,280.6666667,-280.6666667
,134.4,263.2,,182.9333333,312.8,,,,,,,,,158.6666667,288,-288
,150.4,285.3333333,,194.6666667,321.3333333,,,,,,,,,172.5333333,303.3333333,-303.3333333
,159.7333333,30.13333333,,,,,,,,,,,,159.7333333,30.13333333,-30.13333333
,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
