,x,y,,x,y,,x,y,,x,y,,avrg,x,y,
1,7.454545455,7.090909091,,8.470588235,15.76470588,,4.8,7.2,,,,,,6.908377897,10.01853832,-10.01853832
2,13.63636364,16,,12.23529412,34.11764706,,8.2,15.2,,,,,,11.35721925,21.77254902,-21.77254902
3,49.27272727,55.63636364,,19.05882353,55.05882353,,13,28.2,,,,,,27.11051693,46.29839572,-46.29839572
4,63.81818182,70.18181818,,31.05882353,83.76470588,,19.2,39.8,,,,,,38.02566845,64.58217469,-64.58217469
5,72.90909091,79.45454545,,39.05882353,97.88235294,,22.4,49.2,,,,,,44.78930481,75.51229947,-75.51229947
6,80.72727273,85.81818182,,46.58823529,114.8235294,,31.2,69.2,,,,,,52.83850267,89.94723708,-89.94723708
7,88.72727273,93.81818182,,56.23529412,128.2352941,,38,80,,,,,,60.98752228,100.684492,-100.684492
8,97.45454545,100.1818182,,65.41176471,142.5882353,,53.2,101.2,,,,,,72.02210339,114.6566845,-114.6566845
9,107.4545455,106.9090909,,74.35294118,155.5294118,,60.8,111.2,,,,,,80.86916221,124.5461676,-124.5461676
10,112.9090909,113.0909091,,93.64705882,184.2352941,,69.8,122.4,,,,,,92.11871658,139.9087344,-139.9087344
11,122.1818182,120.3636364,,106.3529412,195.7647059,,75.6,132.2,,,,,,101.3782531,149.4427807,-149.4427807
12,132,130.1818182,,118.1176471,209.8823529,,86.2,141,,,,,,112.1058824,160.3547237,-160.3547237
13,141.4545455,137.0909091,,129.4117647,221.6470588,,105.2,163.4,,,,,,125.3554367,174.0459893,-174.0459893
14,154.7272727,149.2727273,,144.2352941,232.4705882,,114.2,175.2,,,,,,137.7208556,185.6477718,-185.6477718
15,166.5454545,157.4545455,,164.2352941,253.1764706,,124.2,185,,,,,,151.6602496,198.543672,-198.543672
16,177.2727273,166,,182.5882353,269.6470588,,135.2,193.4,,,,,,165.0203209,209.6823529,-209.6823529
17,184.7272727,172.7272727,,191.7647059,281.8823529,,148.4,202.4,,,,,,174.9639929,219.0032086,-219.0032086
18,193.6363636,179.2727273,,201.1764706,289.8823529,,168,222.4,,,,,,187.6042781,230.5183601,-230.5183601
19,202.5454545,188.7272727,,,,,182.2,228.8,,,,,,192.3727273,208.7636364,-208.7636364
20,217.4545455,200.3636364,,,,,193,239.2,,,,,,205.2272727,219.7818182,-219.7818182
21,226,210.1818182,,,,,,,,,,,,226,210.1818182,-210.1818182
22,235.2727273,222,,,,,,,,,,,,235.2727273,222,-222
23,243.8181818,231.2727273,,,,,,,,,,,,243.8181818,231.2727273,-231.2727273
24,0,0,,,,,,,,,,,,0,0,0
25,0,0,,,,,,,,,,,,0,0,0
