,x,y,,x,y,,x,y,,x,y,,avrg,x,y,
1,,,,0.8,0,,0,0,,,,,,0.4,0,0
2,,,,0,2.5,,2.133333333,8,,,,,,1.066666667,5.25,-5.25
3,,,,1,5.6,,3.733333333,13.33333333,,,,,,2.366666667,9.466666667,-9.466666667
4,,,,1.3,7.5,,5.066666667,19.2,,,,,,3.183333333,13.35,-13.35
5,,,,1.3,10,,6.4,28,,,,,,3.85,19,-19
6,,,,2.2,12.8,,9.866666667,33.33333333,,,,,,6.033333333,23.06666667,-23.06666667
7,,,,3.2,16.4,,13.6,41.33333333,,,,,,8.4,28.86666667,-28.86666667
8,,,,4.3,20,,16,47.46666667,,,,,,10.15,33.73333333,-33.73333333
9,,,,5.6,23,,21.6,62.66666667,,,,,,13.6,42.83333333,-42.83333333
10,,,,7.6,26.5,,24.53333333,68,,,,,,16.06666667,47.25,-47.25
11,,,,11,32.5,,30.4,77.33333333,,,,,,20.7,54.91666667,-54.91666667
12,,,,13,36,,34.93333333,84,,,,,,23.96666667,60,-60
13,,,,14.8,37,,37.86666667,92,,,,,,26.33333333,64.5,-64.5
14,,,,16.7,41,,50.4,108,,,,,,33.55,74.5,-74.5
15,,,,19,44.7,,62.4,117.3333333,,,,,,40.7,81.01666667,-81.01666667
16,,,,22.5,49.5,,69.06666667,124,,,,,,45.78333333,86.75,-86.75
17,,,,25.4,53.2,,73.33333333,130.6666667,,,,,,49.36666667,91.93333333,-91.93333333
18,,,,28.5,56.5,,81.33333333,138.6666667,,,,,,54.91666667,97.58333333,-97.58333333
19,,,,32,58.5,,99.73333333,150.4,,,,,,65.86666667,104.45,-104.45
20,,,,36.8,63.8,,106.1333333,160.2666667,,,,,,71.46666667,112.0333333,-112.0333333
21,,,,39.6,67.5,,114.4,168,,,,,,77,117.75,-117.75
22,,,,43.5,70,,122.1333333,174.1333333,,,,,,82.81666667,122.0666667,-122.0666667
23,,,,45.5,71.5,,129.3333333,184,,,,,,87.41666667,127.75,-127.75
24,,,,48.5,73.8,,146.1333333,193.3333333,,,,,,97.31666667,133.5666667,-133.5666667
25,,,,52,77,,155.4666667,198.9333333,,,,,,103.7333333,137.9666667,-137.9666667
,,,,57,80.5,,168.8,211.7333333,,,,,,112.9,146.1166667,-146.1166667
,,,,60,83,,177.3333333,218.6666667,,,,,,118.6666667,150.8333333,-150.8333333
,,,,63,85.5,,186.1333333,225.6,,,,,,124.5666667,155.55,-155.55
,,,,65.8,87.6,,193.3333333,230.6666667,,,,,,129.5666667,159.1333333,-159.1333333
,,,,70.4,90,,201.0666667,239.4666667,,,,,,135.7333333,164.7333333,-164.7333333
,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
