,x,y,,x,y,,x,y,,x,y,,avrg,x,y,
1,0,0,,0,0,,,,,,,,,0,0,0
2,-0.2666666667,9.333333333,,1.6,8.533333333,,,,,,,,,0.6666666667,8.933333333,-8.933333333
3,0,21.6,,2.133333333,16.8,,,,,,,,,1.066666667,19.2,-19.2
4,1.066666667,29.6,,2.133333333,25.06666667,,,,,,,,,1.6,27.33333333,-27.33333333
5,3.733333333,38.66666667,,2.4,34.13333333,,,,,,,,,3.066666667,36.4,-36.4
6,6.133333333,46.66666667,,2.133333333,39.46666667,,,,,,,,,4.133333333,43.06666667,-43.06666667
7,6.4,53.6,,2.933333333,45.86666667,,,,,,,,,4.666666667,49.73333333,-49.73333333
8,10.4,64,,6.4,60.8,,,,,,,,,8.4,62.4,-62.4
9,11.73333333,73.33333333,,9.066666667,76,,,,,,,,,10.4,74.66666667,-74.66666667
10,13.33333333,81.33333333,,10.4,83.73333333,,,,,,,,,11.86666667,82.53333333,-82.53333333
11,18.4,101.3333333,,13.86666667,93.86666667,,,,,,,,,16.13333333,97.6,-97.6
12,25.33333333,112,,23.2,113.8666667,,,,,,,,,24.26666667,112.9333333,-112.9333333
13,29.06666667,122.6666667,,29.06666667,124.8,,,,,,,,,29.06666667,123.7333333,-123.7333333
14,35.2,133.3333333,,35.2,135.2,,,,,,,,,35.2,134.2666667,-134.2666667
15,49.6,150.6666667,,41.86666667,147.7333333,,,,,,,,,45.73333333,149.2,-149.2
16,52.8,159.7333333,,47.73333333,158.9333333,,,,,,,,,50.26666667,159.3333333,-159.3333333
17,61.6,172,,54.4,168.5333333,,,,,,,,,58,170.2666667,-170.2666667
18,67.73333333,182.6666667,,68.26666667,189.3333333,,,,,,,,,68,186,-186
19,75.2,191.7333333,,76.53333333,200.5333333,,,,,,,,,75.86666667,196.1333333,-196.1333333
20,89.33333333,212,,84.53333333,210.1333333,,,,,,,,,86.93333333,211.0666667,-211.0666667
21,102.4,224,,94.13333333,220,,,,,,,,,98.26666667,222,-222
22,110.6666667,233.3333333,,102.4,232.8,,,,,,,,,106.5333333,233.0666667,-233.0666667
23,119.2,242.6666667,,120.5333333,249.8666667,,,,,,,,,119.8666667,246.2666667,-246.2666667
24,125.8666667,253.3333333,,129.8666667,260,,,,,,,,,127.8666667,256.6666667,-256.6666667
25,146.1333333,270.6666667,,138.9333333,270.4,,,,,,,,,142.5333333,270.5333333,-270.5333333
,158.4,280.5333333,,147.4666667,279.2,,,,,,,,,152.9333333,279.8666667,-279.8666667
,166.6666667,292,,156.5333333,287.7333333,,,,,,,,,161.6,289.8666667,-289.8666667
,179.7333333,302.1333333,,171.7333333,301.0666667,,,,,,,,,175.7333333,301.6,-301.6
,189.3333333,308.2666667,,,,,,,,,,,,189.3333333,308.2666667,-308.2666667
,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
