,x,y,,x,y,,x,y,,x,y,,avrg,x,y,
1,2.666666667,0,,5.333333333,0,,0,0,,,,,,2.666666667,0,0
2,3.466666667,7.2,,5.333333333,8.533333333,,1.066666667,9.066666667,,,,,,3.288888889,8.266666667,-8.266666667
3,1.866666667,15.2,,3.466666667,16.8,,2.133333333,17.86666667,,,,,,2.488888889,16.62222222,-16.62222222
4,0.5333333333,20.53333333,,0.2666666667,25.6,,3.466666667,25.06666667,,,,,,1.422222222,23.73333333,-23.73333333
5,0.5333333333,30.66666667,,0,34.4,,3.2,33.33333333,,,,,,1.244444444,32.8,-32.8
6,0,39.46666667,,2.666666667,48.8,,8.8,49.6,,,,,,3.822222222,45.95555556,-45.95555556
7,1.866666667,52.26666667,,5.6,57.86666667,,10.4,58.66666667,,,,,,5.955555556,56.26666667,-56.26666667
8,4,60.26666667,,6.133333333,66.13333333,,13.06666667,68,,,,,,7.733333333,64.8,-64.8
9,6.4,68,,10.66666667,75.2,,16.53333333,75.73333333,,,,,,11.2,72.97777778,-72.97777778
10,8,77.33333333,,16.26666667,83.2,,19.46666667,89.33333333,,,,,,14.57777778,83.28888889,-83.28888889
11,12,86.66666667,,19.73333333,103.2,,30.13333333,110.1333333,,,,,,20.62222222,100,-100
12,15.2,96.26666667,,25.33333333,114.4,,36,118.6666667,,,,,,25.51111111,109.7777778,-109.7777778
13,21.06666667,113.3333333,,29.6,135.4666667,,40.8,128,,,,,,30.48888889,125.6,-125.6
14,28,121.8666667,,35.46666667,138.1333333,,46.66666667,140,,,,,,36.71111111,133.3333333,-133.3333333
15,33.86666667,131.7333333,,45.33333333,148.2666667,,52.53333333,149.3333333,,,,,,43.91111111,143.1111111,-143.1111111
16,40.53333333,141.3333333,,56,161.6,,70.13333333,166.6666667,,,,,,55.55555556,156.5333333,-156.5333333
17,46.4,151.2,,63.73333333,183.2,,78.93333333,179.2,,,,,,63.02222222,171.2,-171.2
18,60.8,170.6666667,,72.53333333,191.7333333,,88,189.3333333,,,,,,73.77777778,183.9111111,-183.9111111
19,64.8,180.8,,82.93333333,201.6,,97.06666667,197.0666667,,,,,,81.6,193.1555556,-193.1555556
20,74.13333333,190.6666667,,101.0666667,213.3333333,,107.2,209.3333333,,,,,,94.13333333,204.4444444,-204.4444444
21,82.13333333,201.0666667,,109.8666667,243.4666667,,125.6,224.8,,,,,,105.8666667,223.1111111,-223.1111111
22,90.66666667,209.3333333,,119.4666667,255.2,,136.5333333,235.7333333,,,,,,115.5555556,233.4222222,-233.4222222
23,97.06666667,221.3333333,,130.1333333,266.1333333,,145.8666667,246.6666667,,,,,,124.3555556,244.7111111,-244.7111111
24,111.7333333,238.6666667,,141.0666667,277.8666667,,155.7333333,252.8,,,,,,136.1777778,256.4444444,-256.4444444
25,119.4666667,248,,152,285.8666667,,165.3333333,262.6666667,,,,,,145.6,265.5111111,-265.5111111
,126.6666667,255.4666667,,169.8666667,305.8666667,,184,277.3333333,,,,,,160.1777778,279.5555556,-279.5555556
,134.4,263.2,,182.9333333,312.8,,190.9333333,315.2,,,,,,169.4222222,297.0666667,-297.0666667
,150.4,285.3333333,,194.6666667,321.3333333,,,,,,,,,172.5333333,303.3333333,-303.3333333
,159.7333333,30.13333333,,,,,,,,,,,,159.7333333,30.13333333,-30.13333333
,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
