,x,y,,x,y,,x,y,,x,y,,avrg,x,y,
1,0,0,,0,0,,0,0,,,,,,0,0,0
2,-0.5,11.5,,0.5,2.2,,-1.2,3.5,,,,,,-0.4,5.733333333,-5.733333333
3,-0.7,15.5,,-0.3,5.4,,-1.8,6.6,,,,,,-0.9333333333,9.166666667,-9.166666667
4,0.2,22.7,,-0.7,9.8,,-1.9,11.4,,,,,,-0.8,14.63333333,-14.63333333
5,0.9,30.9,,-1,14.9,,-0.5,21.9,,,,,,-0.2,22.56666667,-22.56666667
6,3.2,39.2,,-0.8,21,,-0.3,24.6,,,,,,0.7,28.26666667,-28.26666667
7,6.5,48.1,,0.8,28.9,,1.8,33.1,,,,,,3.033333333,36.7,-36.7
8,10,58.3,,2.3,32.5,,4.2,40.9,,,,,,5.5,43.9,-43.9
9,14.9,68.6,,5.7,46.9,,8.1,51.2,,,,,,9.566666667,55.56666667,-55.56666667
10,21.2,78.9,,9.5,57.5,,12.5,60.6,,,,,,14.4,65.66666667,-65.66666667
11,27.8,89.8,,14,67.5,,17.2,70.8,,,,,,19.66666667,76.03333333,-76.03333333
12,35.8,100.5,,19.5,78.3,,24,82.3,,,,,,26.43333333,87.03333333,-87.03333333
13,43.7,111.5,,25.8,89.4,,31.2,92.1,,,,,,33.56666667,97.66666667,-97.66666667
14,53.7,121.9,,33.6,99.2,,38.8,102.6,,,,,,42.03333333,107.9,-107.9
15,,,,42.4,110,,47.7,112.5,,,,,,45.05,111.25,-111.25
16,,,,51.4,122.5,,53.1,118.5,,,,,,52.25,120.5,-120.5
17,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
18,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
19,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
20,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
21,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
22,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
23,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
24,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
25,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
