,x,y,,x,y,,x,y,,x,y,,avrg,x,y,
1,1.090909091,10.18181818,,4.909090909,0,,4.181818182,0,,,,,,3.393939394,3.393939393,-3.393939393
2,2.909090909,13.45454545,,4.545454545,8.545454545,,4.545454545,3.090909091,,,,,,4,8.363636362,-8.363636362
3,0.909090909,15.09090909,,2.545454545,13.45454545,,4.545454545,5.454545455,,,,,,2.666666667,11.33333333,-11.33333333
4,2.727272727,20.90909091,,1.818181818,15.81818182,,3.818181818,10.72727273,,,,,,2.787878788,15.81818182,-15.81818182
5,1.090909091,27.45454545,,1.272727273,19.27272727,,3.090909091,12.72727273,,,,,,1.818181818,19.81818182,-19.81818182
6,3.090909091,41.81818182,,0,34.72727273,,2.909090909,17.09090909,,,,,,2,31.21212121,-31.21212121
7,3.272727273,48.18181818,,0.7272727273,40.72727273,,1.272727273,20.36363636,,,,,,1.757575758,36.42424242,-36.42424242
8,4.545454545,56.90909091,,1.272727273,46.54545455,,1.272727273,26.54545455,,,,,,2.363636363,43.33333333,-43.33333333
9,5.272727273,64.36363636,,0,58.72727273,,0,39.63636364,,,,,,1.757575758,54.24242424,-54.24242424
10,7.818181818,75.27272727,,2.181818182,66.54545455,,0,43.27272727,,,,,,3.333333333,61.6969697,-61.6969697
11,8,93.63636364,,2.727272727,77.45454545,,1.454545455,58.90909091,,,,,,4.060606061,76.66666667,-76.66666667
12,11.81818182,106.3636364,,5.272727273,93.45454545,,1.818181818,66.36363636,,,,,,6.303030304,88.72727274,-88.72727274
13,13.63636364,116.3636364,,5.454545455,102.9090909,,3.272727273,76.36363636,,,,,,7.454545456,98.54545456,-98.54545456
14,15.63636364,127.4545455,,8.181818182,114.5454545,,4.909090909,85.45454545,,,,,,9.575757577,109.1515152,-109.1515152
15,20.54545455,140.9090909,,13.27272727,133.0909091,,6.545454545,93.45454545,,,,,,13.45454546,122.4848485,-122.4848485
16,26.54545455,164.3636364,,16.36363636,146.3636364,,8.363636364,103.8181818,,,,,,17.09090909,138.1818182,-138.1818182
17,31.81818182,177.0909091,,18.90909091,156.9090909,,15.27272727,128.7272727,,,,,,22,154.2424242,-154.2424242
18,36.18181818,192.1818182,,24,169.6363636,,17.63636364,141.0909091,,,,,,25.93939394,167.6363636,-167.6363636
19,39.81818182,205.6363636,,28.18181818,192.1818182,,21.63636364,153.6363636,,,,,,29.87878788,183.8181818,-183.8181818
20,40.54545455,232,,36.36363636,207.2727273,,24.36363636,162.5454545,,,,,,33.75757576,200.6060606,-200.6060606
21,52.72727273,245.2727273,,40.90909091,224.3636364,,28.18181818,171.4545455,,,,,,40.60606061,213.6969697,-213.6969697
22,65.27272727,273.0909091,,49.81818182,237.4545455,,39.09090909,202.7272727,,,,,,51.39393939,237.7575758,-237.7575758
23,73.09090909,288.5454545,,57.27272727,253.8181818,,46.36363636,214.9090909,,,,,,58.90909091,252.4242424,-252.4242424
24,82.54545455,305.2727273,,65.45454545,275.6363636,,50,227.2727273,,,,,,66,269.3939394,-269.3939394
25,,,,75.81818182,292.1818182,,57.27272727,243.6363636,,,,,,66.54545455,267.9090909,-267.9090909
,,,,85.45454545,307.6363636,,68,269.0909091,,,,,,76.72727273,288.3636364,
,,,,,,,75.45454545,281.8181818,,,,,,75.45454545,281.8181818,
,,,,,,,76,295.4545455,,,,,,76,295.4545455,
,,,,,,,93.45454545,301.6363636,,,,,,93.45454545,301.6363636,
,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,
,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,
,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,
,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,
,,,,,,,,,,,,,,,#DIV/0!,
