,x,y,,x,y,,x,y,,x,y,,avrg,x,y,
1,,,,0,0,,,,,1.818181818,9.636363636,,,0.9090909091,4.818181818,-4.818181818
2,,,,0,5.066666667,,,,,1.818181818,14.18181818,,,0.9090909091,9.624242424,-9.624242424
3,,,,-0.5333333333,17.06666667,,,,,0.5454545455,16.36363636,,,0.006060606061,16.71515152,-16.71515152
4,,,,1.333333333,22.66666667,,,,,0,26.36363636,,,0.6666666667,24.51515152,-24.51515152
5,,,,2.666666667,28,,,,,0,31.81818182,,,1.333333333,29.90909091,-29.90909091
6,,,,4.266666667,36.8,,,,,0.5454545455,37.27272727,,,2.406060606,37.03636364,-37.03636364
7,,,,5.866666667,44.53333333,,,,,1.272727273,44.54545455,,,3.56969697,44.53939394,-44.53939394
8,,,,8.533333333,62.66666667,,,,,3.454545455,50.90909091,,,5.993939394,56.78787879,-56.78787879
9,,,,14.93333333,73.86666667,,,,,3.636363636,58.72727273,,,9.284848485,66.2969697,-66.2969697
10,,,,16.8,81.33333333,,,,,9.272727273,75.81818182,,,13.03636364,78.57575758,-78.57575758
11,,,,18.66666667,92.53333333,,,,,11.45454545,84.54545455,,,15.06060606,88.53939394,-88.53939394
12,,,,23.46666667,105.3333333,,,,,16.90909091,90.90909091,,,20.18787879,98.12121212,-98.12121212
13,,,,27.73333333,130.6666667,,,,,20.90909091,100.9090909,,,24.32121212,115.7878788,-115.7878788
14,,,,36.53333333,141.3333333,,,,,26.72727273,112.3636364,,,31.63030303,126.8484848,-126.8484848
15,,,,42.93333333,154.6666667,,,,,35.81818182,130.9090909,,,39.37575758,142.7878788,-142.7878788
16,,,,46.93333333,163.2,,,,,41.27272727,137.8181818,,,44.1030303,150.5090909,-150.5090909
17,,,,53.33333333,174.4,,,,,46.36363636,145.4545455,,,49.84848485,159.9272727,-159.9272727
18,,,,60.26666667,196.5333333,,,,,52.54545455,153.6363636,,,56.40606061,175.0848485,-175.0848485
19,,,,67.2,,,,,,60,162.7272727,,,63.6,162.7272727,-162.7272727
20,,,,80.26666667,,,,,,71.81818182,180.9090909,,,76.04242424,180.9090909,-180.9090909
21,,,,91.2,,,,,,80.36363636,189.0909091,,,85.78181818,189.0909091,-189.0909091
22,,,,100.2666667,,,,,,87.27272727,199.0909091,,,93.76969697,199.0909091,-199.0909091
23,,,,110.6666667,,,,,,95.45454545,210,,,103.0606061,210,-210
24,,,,120.2666667,,,,,,106.3636364,221.8181818,,,113.3151515,221.8181818,-221.8181818
25,,,,126.6666667,,,,,,115.2727273,231.8181818,,,120.969697,231.8181818,-231.8181818
,,,,,,,,,,125.2727273,240,,,125.2727273,240,-240
,,,,,,,,,,132.7272727,250,,,132.7272727,250,-250
,,,,,,,,,,141.4545455,257.2727273,,,141.4545455,257.2727273,-257.2727273
,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!
